load_seq,tote_id,total_items,orders_served,items_per_order
1,5,5,O15,O15=5
2,11,16,O0;O1;O8;O22,O0=8;O1=1;O8=4;O22=3
3,13,2,O19,O19=2
4,1,3,O5;O20,O5=1;O20=2
5,3,1,O13,O13=1
6,7,1,O13,O13=1
7,9,1,O24,O24=1
8,17,1,O10,O10=1
9,8,2,O9,O9=2
10,4,3,O12,O12=3
11,14,3,O5,O5=3
12,0,4,O4;O17,O4=1;O17=3
13,18,4,O10,O10=4
14,10,5,O11;O18,O11=3;O18=2
15,12,7,O3;O11;O13,O3=1;O11=4;O13=2
16,2,8,O7;O16;O22,O7=3;O16=3;O22=2
17,15,9,O5;O12;O17;O21,O5=3;O12=3;O17=1;O21=2
18,16,9,O2;O14;O23,O2=5;O14=3;O23=1
19,19,10,O1;O6;O21,O1=5;O6=3;O21=2
