seed,algorithm,method,norm_total_comp,norm_makespan,norm_circulations
777,Random Baseline,rank,0.250000,0.125000,0.125000
777,Random Baseline,minmax,0.094203,0.000000,0.000000
777,Shortest Order First,rank,0.000000,0.500000,0.625000
777,Shortest Order First,minmax,0.000000,0.081633,0.300000
777,Load Balanced,rank,1.000000,1.000000,1.000000
777,Load Balanced,minmax,1.000000,1.000000,1.000000
777,Tote-Aware Clustering,rank,0.625000,0.750000,0.625000
777,Tote-Aware Clustering,minmax,0.123188,0.183673,0.300000
777,Wave Batching,rank,0.625000,0.125000,0.125000
777,Wave Batching,minmax,0.123188,0.000000,0.000000
42,Random Baseline,rank,0.500000,0.125000,0.250000
42,Random Baseline,minmax,0.089552,0.000000,0.000000
42,Shortest Order First,rank,0.250000,0.125000,0.250000
42,Shortest Order First,minmax,0.044776,0.000000,0.000000
42,Load Balanced,rank,1.000000,1.000000,1.000000
42,Load Balanced,minmax,1.000000,1.000000,1.000000
42,Tote-Aware Clustering,rank,0.000000,0.750000,0.250000
42,Tote-Aware Clustering,minmax,0.000000,0.818182,0.000000
42,Wave Batching,rank,0.750000,0.500000,0.750000
42,Wave Batching,minmax,0.701493,0.181818,0.500000
100,Random Baseline,rank,0.500000,0.000000,0.750000
100,Random Baseline,minmax,0.641791,0.000000,1.000000
100,Shortest Order First,rank,0.250000,0.625000,0.750000
100,Shortest Order First,minmax,0.134328,0.368421,1.000000
100,Load Balanced,rank,1.000000,1.000000,0.125000
100,Load Balanced,minmax,1.000000,1.000000,0.000000
100,Tote-Aware Clustering,rank,0.750000,0.625000,0.750000
100,Tote-Aware Clustering,minmax,0.925373,0.368421,1.000000
100,Wave Batching,rank,0.000000,0.250000,0.125000
100,Wave Batching,minmax,0.000000,0.263158,0.000000
200,Random Baseline,rank,0.000000,0.000000,0.375000
200,Random Baseline,minmax,0.000000,0.000000,0.000000
200,Shortest Order First,rank,0.500000,1.000000,1.000000
200,Shortest Order First,minmax,0.727273,1.000000,1.000000
200,Load Balanced,rank,1.000000,0.500000,0.375000
200,Load Balanced,minmax,1.000000,0.466667,0.000000
200,Tote-Aware Clustering,rank,0.250000,0.750000,0.375000
200,Tote-Aware Clustering,minmax,0.545455,0.666667,0.000000
200,Wave Batching,rank,0.750000,0.250000,0.375000
200,Wave Batching,minmax,0.909091,0.266667,0.000000
612,Random Baseline,rank,0.250000,0.750000,1.000000
612,Random Baseline,minmax,0.347305,0.333333,1.000000
612,Shortest Order First,rank,0.000000,0.250000,0.250000
612,Shortest Order First,minmax,0.000000,0.083333,0.000000
612,Load Balanced,rank,1.000000,1.000000,0.750000
612,Load Balanced,minmax,1.000000,1.000000,0.666667
612,Tote-Aware Clustering,rank,0.500000,0.500000,0.250000
612,Tote-Aware Clustering,minmax,0.407186,0.166667,0.000000
